ID,Categoria,Teste,Entrada,Verificação,Critério de Aceite,Prioridade,Status,Responsável,Data Execução,Resultado,Notas
ING-001,Ingestão,Extração de PDF,PROC-042-v2 (PDF),Texto limpo sem artefatos OCR,Seção 2.1 presente e legível,P0,Pendente,DevOps,,
ING-002,Ingestão,Extração de Word,POL-001 (docx),Texto com formatação normalizada,Todas 5 seções presentes,P0,Pendente,DevOps,,
ING-003,Ingestão,Caracteres especiais,FAQ-Atendimento (® ™),Caracteres escapados corretamente,Nenhuma perda semântica,P1,Pendente,DevOps,,
ING-004,Ingestão,Tabelas,SLA-2024 (tabela),Dados estruturados legíveis,"Gold resposta = ""2h úteis""",P0,Pendente,DevOps,,
ING-005,Ingestão,Excluir metadados,Docs com cabeçalho,Apenas corpo do documento,Cabeçalho não recuperável,P1,Pendente,QA,,
INK-001,Ingestão,Tamanho de chunks,POL-001 (1.200 palavras),Chunks 200-400 palavras,Nenhum <150 ou >500 palavras,P0,Pendente,DevOps,,
INK-002,Ingestão,Contexto preservado,"Chunk ""exceção cargas perigosas""",Inclui ramal 4500,Chunk auto-contido,P0,Pendente,DevOps,,
INK-003,Ingestão,Overlap chunks,"Seção 3.2 (2 parágrafos)",Sobreposição ~50 palavras,Info crítica não na borda,P1,Pendente,DevOps,,
INK-004,Ingestão,Chunks órfãos,PROC-042 seção 4,Inclui referência PROC-043,Referência preservada,P1,Pendente,QA,,
IDX-001,Ingestão,Metadados,PROC-042-v2,Campos corretos,doc_version="2.0"; indexed recente,P0,Pendente,DevOps,,
IDX-002,Ingestão,Deduplicação,Chunk indexado 2x,Apenas 1 cópia no índice,SELECT count = 1,P0,Pendente,DevOps,,
IDX-003,Ingestão,Versões antigas,PROC-042 v1 → v2,v1 marcada deprecated,Busca v1 multiplica 1.6 = 0 ou warning,P1,Pendente,DevOps,,
IDX-004,Ingestão,Disponibilidade,Documento indexado,Recuperável em 1 minuto,Query retorna chunk <1s,P0,Pendente,DevOps,,
RET-001,Retrieval,"Qual prazo devolução?","POL-001-A, POL-001-B","Chunks rank 1, 2",POL-001-B ≥0.82; sem PROC-042,P0,Pendente,QA,,
RET-002,Retrieval,"Devolução carga perigosa?","POL-001-B, FAQ-03","Chunks rank 1, 2",POL-001-B ≥0.85; sem SLA/PROC,P0,Pendente,QA,,
RET-003,Retrieval,"SLA cliente Gold?","SLA-2024-B, SLA-2024-A","Chunks rank 1, 2",SLA-2024-B ≥0.80,P0,Pendente,QA,,
RET-004,Retrieval,"Multiplicador Manaus?",PROC-042v2-B,Rank 1 com score alt,PROC-042v2-B ≥0.88; PROC-042-B <0.75,P0,Pendente,QA,,
RET-005,Retrieval,"Frete 2.5t Nordeste 12 fretes/mês?","PROC-042v2-A, B, D",Todos rank ≤3,PROC-042v2 todos ≥0.80; v1 ausente,P0,Pendente,QA,,
RET-006,Retrieval,"Carga danificada?",FAQ-38,Rank 1,FAQ-38 ≥0.78,P1,Pendente,QA,,
RET-007,Retrieval,"SLA incidente crítico?","SLA-2024-C, D",Rank 1 e 2,SLA-2024-C ≥0.83,P0,Pendente,QA,,
RET-008,Retrieval,"Calcular frete especial?","PROC-042v2-A, B",Rank 1 e 2,PROC-042v2-A ≥0.85; v1 <0.75,P0,Pendente,QA,,
RET-009,Retrieval,"Seguro carga?",FAQ-22,Rank 1 com advertência,FAQ-22 ≥0.75; marcado informal,P1,Pendente,QA,,
RET-010,Retrieval,"Tier Platinum existe?",SLA-2024-A,Rank 1,SLA-2024-A ≥0.80; contém ""não existem"",P0,Pendente,QA,,
RET-011,Retrieval,"Prazo devolução (sem acentos)",POL-001-A/B,Mesmo RET-001,Rank ±1,P1,Pendente,QA,,
RET-012,Retrieval,"Tempo devolver (sinônimo)",POL-001-A/B,Mesmo RET-001,Rank ±2; score ≥0.78,P1,Pendente,QA,,
RET-013,Retrieval,"Retorna mercadoria?",POL-001-B,Mesmo RET-002,Rank ±1,P1,Pendente,QA,,
RET-RANK-001,Retrieval,"Multiplicador Sudeste","v2:0.92, v1:0.85, A:0.78",Ranking correto,v2 primeiro; v1 score <0.85,P1,Pendente,QA,,
RET-RANK-002,Retrieval,"Frete Nordeste","v2-B:0.88, v2-A:0.85, v2-D:0.82, v1:0.73",Ranking correto,v2 dominante; v1 <0.75,P1,Pendente,QA,,
RET-RANK-003,Retrieval,"Devolução cargas especiais","POL-001-B:0.91, A:0.84, FAQ:0.82",Ranking correto,Exceção primeiro,P1,Pendente,QA,,
RET-REC-001,Retrieval,POL-001,"Prazo devolução?",(≥1 chunk),"Recall = 1 (100%)",P0,Pendente,QA,,
RET-REC-002,Retrieval,PROC-042-v1,"Multiplicador Norte v1?",(score baixo),"Score 0.6–0.75 (indicando versão antiga)",P1,Pendente,QA,,
